TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 1402.0663089511036.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 1402.0663089511036.
TrafficModel.Traffic.1 	 resumes 	 Car.c.80 	 at time 1411.7630678450776.
Car.c.80 	 resumes 	 TrafficModel.Traffic.1 	 at time 1411.7630678450776.
TrafficModel.Traffic.1 	 resumes 	 Car.c.84 	 at time 1468.2140952441841.
Car.c.84 	 resumes 	 TrafficModel.Traffic.1 	 at time 1468.2140952441841.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 1479.9588816706093.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 1479.9588816706093.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 1499.2096335161475.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 1499.2096335161475.
TrafficModel.Traffic.1 	 resumes 	 Car.c.80 	 at time 1552.9393746295852.
Car.c.80 	 resumes 	 TrafficModel.Traffic.1 	 at time 1552.9393746295852.
TrafficModel.Traffic.1 	 resumes 	 Car.c.82 	 at time 1554.6805568536124.
Car.c.82 	 resumes 	 TrafficModel.Traffic.1 	 at time 1554.6805568536124.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 1557.8514543901151.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 1557.8514543901151.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 1606.296035910158.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 1606.296035910158.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 1635.744027109621.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 1635.744027109621.
TrafficModel.Traffic.1 	 resumes 	 Car.c.84 	 at time 1651.7408571497072.
Car.c.84 	 resumes 	 TrafficModel.Traffic.1 	 at time 1651.7408571497072.
TrafficModel.Traffic.1 	 resumes 	 Car.c.80 	 at time 1694.115681414093.
Car.c.80 	 resumes 	 TrafficModel.Traffic.1 	 at time 1694.115681414093.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 1713.3824383041685.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 1713.3824383041685.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 1713.6365998291267.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 1713.6365998291267.
TrafficModel.Traffic.1 	 resumes 	 Car.c.82 	 at time 1749.015626460314.
Car.c.82 	 resumes 	 TrafficModel.Traffic.1 	 at time 1749.015626460314.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 1791.5291725486325.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 1791.5291725486325.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 1820.468840698179.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 1820.468840698179.
TrafficModel.Traffic.1 	 resumes 	 Car.c.84 	 at time 1835.2676190552302.
Car.c.84 	 resumes 	 TrafficModel.Traffic.1 	 at time 1835.2676190552302.
TrafficModel.Traffic.1 	 resumes 	 Car.c.80 	 at time 1835.2919881986006.
Car.c.80 	 resumes 	 TrafficModel.Traffic.1 	 at time 1835.2919881986006.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 1869.4217452681382.
